"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"115","PAO CIABATTA ESSENTIELLE 140G","PAES","true","UN","0","116,0000","4,7886","555,4776"
"116","PAO DE FORMA","PAES","true","UN","0","60,0000","0,4917","29,5020"
"123","PAO DE QUEIJO 75G","PAES","true","UN","0","294,0000","2,0784","611,0496"
"124","PAO DE QUEIJO COQUETEL 15G","PAES","true","UN","0","672,0000","0,4509","303,0048"
"268","CALCULADORA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","1,0000","0,0000","0,0000"
"269","GRAMPEADOR","MATERIAIS P/ ESCRITÓRIO","false","UN","0","1,0000","0,0000","0,0000"
"338","IMPRESSORA TERMICA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","4,0000","350,0000","1.400,0000"
"875","BOBINA TÉRMICA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","20,0000","4,3237","86,4740"
"1088","LIXEIRA INOX PEDAL","MATERIAIS P/ ESCRITÓRIO","false","UN","0","1,0000","400,0000","400,0000"
"1091","ESPETO DE PAPEL","MATERIAIS P/ ESCRITÓRIO","false","UN","0","4,0000","11,7500","47,0000"
"1282","CANETA GIZ","MATERIAIS P/ ESCRITÓRIO","false","UN","0","3,0000","0,0000","0,0000"
"1287","CANETA-PINCEL P/ QUADRO BRANCO DVS CORES","MATERIAIS P/ ESCRITÓRIO","false","UN","0","11,0000","8,5125","93,6375"
"1289","GRAMPO PARA GRAMPEADOR","MATERIAIS P/ ESCRITÓRIO","false","CX","0","2,0000","0,0000","0,0000"
"1083","EXTRATOR DE GRAMPO","MATERIAIS P/ ESCRITÓRIO","false","UN","0","0,0000","5,6000","0,0000"
"1022","CAMISETA FEMININA MC","UNIFORMES","false","UN","0","0,0000","37,8000","0,0000"
"1023","CAMISETA MASCULINA MC","UNIFORMES","false","UN","0","0,0000","19,5000","0,0000"
"1024","AVENTAL DE PEITO UNISSEX","UNIFORMES","false","UN","0","0,0000","78,6500","0,0000"
"1144","BONE AMERICANO PRETO","BOLSAS E MOCHILAS","true","UN","0","2,0000","52,1200","104,2400"
"1145","BONE  NEW YORK ASA PRETA","BOLSAS E MOCHILAS","true","UN","0","0,0000","52,1200","0,0000"
"1167","BONE  NEW YORK ASA BRANCA","BOLSAS E MOCHILAS","true","UN","0","0,0000","52,1200","0,0000"
"1183","BOLSA ECO","BOLSAS E MOCHILAS","true","UN","0","0,0000","16,9000","0,0000"
"1171","SACOLA ECO","BOLSAS E MOCHILAS","true","UN","0","3,0000","16,9000","50,7000"
"1290","BONE  NEW YORK CARAMELO","BOLSAS E MOCHILAS","true","UN","0","0,0000","0,0000","0,0000"
